login_hour,login_frequency,device_change,location_change,resource_access_count,vip_access,transaction_count,download_volume,api_frequency,role_violation_count,session_duration,is_anomaly
10,1,0,0,28,0,10,178393,2.56,0,407,0
10,1,0,0,23,0,15,66663,1.21,0,141,0
12,1,0,0,22,0,8,425400,5.55,0,309,0
15,2,0,0,19,0,20,195852,6.67,0,33,0
11,4,0,0,15,0,10,131516,2.51,0,420,0
14,1,0,0,7,0,14,100707,3.51,0,206,0
13,1,0,0,28,0,16,331137,1.87,0,223,0
10,3,0,0,25,0,13,352698,2.35,0,65,0
9,2,0,0,29,0,11,91833,6.99,0,473,0
10,4,0,0,13,0,16,383281,6.84,0,113,0
14,3,0,0,11,0,10,417955,7.56,0,361,0
10,2,0,0,22,0,9,135669,4.24,0,168,0
17,2,0,0,26,0,12,491897,6.38,0,58,0
12,1,0,0,30,0,12,260325,2.87,0,138,0
14,2,0,0,25,0,17,257425,7.19,0,359,0
16,2,0,0,13,0,6,179303,6.21,0,305,0
13,4,0,0,23,0,14,239790,2.54,0,100,0
17,4,0,0,7,0,3,107487,2.07,0,111,0
15,1,0,0,17,0,14,362417,7.97,0,300,0
13,1,0,0,26,0,5,407412,7.19,0,414,0
13,3,0,0,8,0,11,277942,2.11,0,31,0
13,2,0,0,21,0,5,377837,3.09,0,357,0
17,2,0,0,9,0,13,449775,2.13,0,428,0
17,1,0,0,24,0,12,306170,1.14,0,215,0
13,2,0,0,6,0,9,347458,7.63,0,73,0
16,1,0,0,29,0,19,451517,1.88,0,367,0
16,2,0,0,13,0,18,368029,3.96,0,138,0
17,2,0,0,27,0,11,259186,7.97,0,362,0
14,4,0,0,21,0,16,113441,2.74,0,62,0
14,1,0,0,23,0,19,170646,5.12,0,33,0
10,1,0,0,12,0,4,66469,7.02,0,66,0
17,2,0,0,13,0,17,162321,4.77,0,400,0
16,2,0,0,30,0,17,473360,3.85,0,78,0
10,4,0,0,16,0,15,265535,4.27,0,403,0
9,1,0,0,6,0,14,431793,3.38,0,471,0
10,2,0,0,11,0,8,331168,4.14,0,246,0
11,3,0,0,19,0,9,89523,4.1,0,471,0
17,1,0,0,6,0,19,488319,1.1,0,77,0
12,2,0,0,18,0,17,302370,2.5,0,235,0
9,2,0,0,17,0,2,254693,2.86,0,431,0
16,3,0,0,18,0,19,397011,6.03,0,109,0
12,3,0,0,11,0,3,353657,6.15,0,61,0
14,1,0,0,6,0,20,299974,4.52,0,466,0
17,2,0,0,6,0,18,92001,6.96,0,65,0
10,2,0,0,17,0,5,348673,2.72,0,334,0
9,1,0,0,18,0,20,346341,4.66,0,163,0
12,3,0,0,12,0,10,257505,1.92,0,360,0
13,4,0,0,15,0,4,54883,4.21,0,318,0
10,1,0,0,22,0,8,315229,2.86,0,208,0
10,2,0,0,16,0,11,132704,4.07,0,308,0
13,1,0,0,26,0,19,206960,7.52,0,83,0
11,3,0,0,8,0,5,439240,4.87,0,169,0
13,2,0,0,27,0,12,156743,5.81,0,466,0
13,4,0,0,13,0,3,98390,5.44,0,454,0
13,1,0,0,5,0,12,454288,1.92,0,164,0
11,4,0,0,22,0,15,344076,1.07,0,68,0
11,1,0,0,16,0,20,339682,2.04,0,95,0
9,3,0,0,16,0,3,237595,2.47,0,157,0
10,3,0,0,29,0,19,263058,7.82,0,413,0
11,2,0,0,10,0,7,266161,1.17,0,407,0
14,4,0,0,30,0,9,189883,2.11,0,389,0
10,4,0,0,6,0,17,166619,2.4,0,265,0
14,3,0,0,30,0,9,166876,1.17,0,128,0
15,3,0,0,13,0,4,455445,2.95,0,358,0
17,4,0,0,26,0,19,223617,7.57,0,89,0
13,2,0,0,23,0,10,70057,1.76,0,252,0
14,3,0,0,18,0,18,110631,3.7,0,325,0
12,3,0,0,6,0,15,50886,4.64,0,442,0
17,2,0,0,16,0,15,86686,7.64,0,199,0
14,1,0,0,28,0,11,315878,3.16,0,239,0
14,4,0,0,27,0,11,340671,1.89,0,245,0
15,2,0,0,24,0,20,207784,3.84,0,456,0
9,3,0,0,14,0,8,275385,6.5,0,340,0
14,4,0,0,19,0,16,404223,2.5,0,272,0
11,1,0,0,14,0,18,398050,5.43,0,201,0
10,2,0,0,26,0,11,167776,6.65,0,105,0
9,1,0,0,12,0,17,370483,6.95,0,67,0
16,4,0,0,25,0,20,151940,6.03,0,226,0
16,4,0,0,12,0,6,393963,5.81,0,414,0
10,4,0,0,12,0,7,471585,7.71,0,295,0
16,1,0,0,22,0,9,494772,1.85,0,98,0
16,3,0,0,29,0,16,371206,6.71,0,288,0
15,4,0,0,10,0,17,285966,2.81,0,156,0
13,4,0,0,25,0,9,193968,4.08,0,395,0
13,2,0,0,13,0,12,217619,7.25,0,71,0
11,2,0,0,12,0,14,413829,2.07,0,139,0
10,4,0,0,18,0,12,334484,4.26,0,61,0
12,4,0,0,17,0,20,414654,1.14,0,480,0
15,4,0,0,5,0,13,206559,6.27,0,466,0
15,2,0,0,20,0,9,193096,4.05,0,44,0
15,3,0,0,26,0,14,429679,2.16,0,269,0
11,1,0,0,17,0,20,345903,5.64,0,72,0
15,2,0,0,19,0,7,76363,2.82,0,197,0
12,4,0,0,15,0,12,449103,7.16,0,172,0
15,3,0,0,7,0,17,60162,6.24,0,56,0
14,2,0,0,25,0,4,459591,7.7,0,50,0
9,2,0,0,11,0,2,375758,2.07,0,94,0
16,1,0,0,23,0,8,293811,5.9,0,422,0
14,2,0,0,24,0,5,457786,6.74,0,189,0
10,1,0,0,14,0,20,405125,7.36,0,222,0
15,2,0,0,7,0,20,412080,6.81,0,154,0
10,3,0,0,26,0,5,467452,7.89,0,430,0
9,3,0,0,22,0,15,396827,3.59,0,289,0
14,1,0,0,18,0,17,105332,4.03,0,215,0
16,2,0,0,18,0,7,434720,4.65,0,363,0
13,4,0,0,19,0,15,482922,6.12,0,167,0
14,2,0,0,7,0,10,286350,2.71,0,267,0
15,3,0,0,5,0,17,496144,3.28,0,279,0
12,3,0,0,30,0,10,228435,2.96,0,335,0
13,1,0,0,21,0,8,94885,2.69,0,238,0
16,2,0,0,27,0,17,388639,5.98,0,259,0
9,1,0,0,14,0,9,262022,5.84,0,186,0
14,4,0,0,22,0,18,230227,3.98,0,411,0
17,3,0,0,16,0,16,192038,3.15,0,148,0
10,2,0,0,15,0,5,439483,4.75,0,420,0
11,2,0,0,11,0,17,194965,6.07,0,419,0
17,3,0,0,8,0,8,205318,2.59,0,121,0
13,1,0,0,27,0,19,116365,2.92,0,57,0
17,3,0,0,27,0,6,384427,7.08,0,281,0
10,1,0,0,23,0,11,296099,4.35,0,204,0
11,1,0,0,13,0,17,109814,6.75,0,235,0
16,1,0,0,23,0,3,129548,2.04,0,318,0
13,1,0,0,12,0,5,342590,6.35,0,340,0
12,4,0,0,19,0,16,205898,7.02,0,249,0
13,1,0,0,24,0,5,449893,2.45,0,138,0
13,1,0,0,10,0,9,141128,4.86,0,110,0
9,4,0,0,19,0,17,202703,1.23,0,177,0
13,4,0,0,7,0,9,188702,6.51,0,350,0
12,4,0,0,8,0,19,167864,5.53,0,166,0
11,1,0,0,6,0,7,465565,3.15,0,413,0
13,4,0,0,8,0,16,411065,3.13,0,236,0
13,4,0,0,19,0,4,363543,1.28,0,251,0
14,3,0,0,5,0,4,170022,7.73,0,458,0
9,3,0,0,23,0,3,450088,6.29,0,270,0
17,4,0,0,13,0,7,356881,4.05,0,446,0
16,1,0,0,20,0,13,264092,3.33,0,373,0
10,2,0,0,15,0,15,413684,4.47,0,369,0
15,1,0,0,19,0,4,214897,2.77,0,89,0
15,1,0,0,26,0,19,292208,3.89,0,126,0
17,3,0,0,24,0,17,377894,4.09,0,56,0
12,3,0,0,22,0,6,201010,4.07,0,387,0
16,1,0,0,5,0,9,422130,2.11,0,312,0
9,4,0,0,7,0,9,491138,7.39,0,266,0
10,2,0,0,20,0,11,316795,5.94,0,242,0
16,4,0,0,12,0,16,339021,2.01,0,127,0
17,2,0,0,7,0,10,455104,6.53,0,242,0
14,3,0,0,5,0,11,430659,3.09,0,330,0
16,2,0,0,19,0,19,303934,3.42,0,312,0
17,4,0,0,19,0,12,148908,7.87,0,152,0
15,2,0,0,29,0,15,72883,3.23,0,272,0
15,4,0,0,26,0,6,309694,7.75,0,94,0
17,3,0,0,8,0,16,102277,4.68,0,263,0
9,2,0,0,18,0,6,89231,4.29,0,165,0
14,4,0,0,25,0,4,496570,3.3,0,375,0
17,4,0,0,15,0,17,333648,1.25,0,65,0
12,3,0,0,12,0,4,277526,7.85,0,419,0
10,4,0,0,10,0,11,65176,1.32,0,437,0
9,3,0,0,16,0,13,275803,2.02,0,301,0
15,2,0,0,10,0,7,91402,5.27,0,225,0
12,4,0,0,23,0,6,171733,4.23,0,160,0
16,3,0,0,26,0,2,471859,4.26,0,177,0
17,2,0,0,7,0,16,231175,7.91,0,183,0
15,3,0,0,19,0,11,154447,8.0,0,466,0
16,1,0,0,12,0,14,349852,3.51,0,181,0
13,1,0,0,26,0,14,193906,1.06,0,472,0
9,4,0,0,14,0,9,368276,6.61,0,142,0
12,3,0,0,26,0,6,379382,1.68,0,351,0
9,3,0,0,30,0,16,67492,5.06,0,404,0
11,1,0,0,14,0,12,441895,3.91,0,132,0
11,3,0,0,21,0,18,192882,6.81,0,161,0
16,3,0,0,28,0,12,471649,1.81,0,68,0
11,2,0,0,26,0,14,493413,6.63,0,217,0
10,4,0,0,5,0,10,331318,1.87,0,218,0
13,4,0,0,25,0,13,106804,5.72,0,271,0
9,3,0,0,24,0,9,389556,1.44,0,451,0
16,3,0,0,25,0,15,111171,1.98,0,49,0
13,4,0,0,8,0,5,173102,7.21,0,99,0
15,4,0,0,16,0,19,269743,5.11,0,402,0
11,4,0,0,25,0,5,487095,4.43,0,238,0
13,1,0,0,27,0,13,163911,4.1,0,150,0
14,1,0,0,26,0,13,335456,7.31,0,360,0
14,1,0,0,17,0,10,149514,7.78,0,464,0
16,1,0,0,26,0,8,386437,5.48,0,40,0
9,3,0,0,12,0,6,462603,4.95,0,65,0
17,2,0,0,23,0,8,476273,7.09,0,198,0
11,1,0,0,13,0,6,118153,4.78,0,438,0
11,1,0,0,26,0,2,119102,1.1,0,434,0
12,3,0,0,5,0,7,189129,1.37,0,409,0
15,1,0,0,28,0,4,299690,4.14,0,215,0
17,1,0,0,19,0,18,166155,7.62,0,52,0
17,3,0,0,19,0,2,81890,7.99,0,463,0
15,4,0,0,26,0,5,307042,5.99,0,257,0
10,1,0,0,15,0,6,84436,1.88,0,349,0
17,3,0,0,17,0,18,204611,4.18,0,339,0
15,1,0,0,30,0,5,497108,5.58,0,479,0
17,2,0,0,18,0,16,169796,3.9,0,453,0
16,4,0,0,18,0,5,213865,3.99,0,370,0
13,3,0,0,9,0,17,85197,1.64,0,73,0
10,4,0,0,8,0,13,475600,1.91,0,60,0
17,3,0,0,26,0,5,265382,3.48,0,370,0
15,1,0,0,14,0,11,234363,1.73,0,289,0
12,2,0,0,26,0,17,167568,6.93,0,209,0
17,3,0,0,8,0,10,350993,2.58,0,249,0
17,1,0,0,24,0,10,65179,2.26,0,389,0
13,3,0,0,16,0,2,145108,7.09,0,319,0
15,1,0,0,9,0,2,98107,6.22,0,140,0
15,4,0,0,19,0,12,132527,3.59,0,399,0
14,1,0,0,6,0,6,132528,6.28,0,55,0
10,3,0,0,19,0,15,304626,5.25,0,242,0
13,2,0,0,29,0,18,109673,3.42,0,86,0
13,4,0,0,21,0,11,73811,2.54,0,336,0
9,1,0,0,11,0,11,160747,6.37,0,421,0
13,3,0,0,15,0,5,54052,4.48,0,250,0
11,2,0,0,17,0,19,418926,2.61,0,316,0
14,1,0,0,17,0,3,278704,1.13,0,69,0
